compas_0.0005_0.001_1.01.p
0.6809 0.6066017124110955
sample_p [1.         0.80773129 0.19226871 0.00535688 0.0262053  0.0883162
 0.23338642 0.21499928 0.32763863 0.10409729 0.30418416 0.18850442
 0.1145215  0.17851455 0.08947445 0.08643405 0.03836687]
delta_support = 2, new rsetbound = 0.6076017124110955, delta rsetbound = 0.001
----------- before optimization -----------
volume proportional to  tensor(2.6885e+16, dtype=torch.float64, grad_fn=<MulBackward0>)
0 tensor(0.1446, dtype=torch.float64, grad_fn=<AddBackward0>)
1 tensor(0.1375, dtype=torch.float64, grad_fn=<AddBackward0>)
2 tensor(0.1396, dtype=torch.float64, grad_fn=<AddBackward0>)
3 tensor(0.1364, dtype=torch.float64, grad_fn=<AddBackward0>)
4 tensor(0.1359, dtype=torch.float64, grad_fn=<AddBackward0>)
5 tensor(0.1532, dtype=torch.float64, grad_fn=<AddBackward0>)
6 tensor(0.1221, dtype=torch.float64, grad_fn=<AddBackward0>)
7 tensor(0.1452, dtype=torch.float64, grad_fn=<AddBackward0>)
8 tensor(0.1506, dtype=torch.float64, grad_fn=<AddBackward0>)
9 tensor(0.1314, dtype=torch.float64, grad_fn=<AddBackward0>)
10 tensor(0.1336, dtype=torch.float64, grad_fn=<AddBackward0>)
11 tensor(0.1363, dtype=torch.float64, grad_fn=<AddBackward0>)
12 tensor(0.1252, dtype=torch.float64, grad_fn=<AddBackward0>)
13 tensor(0.1271, dtype=torch.float64, grad_fn=<AddBackward0>)
14 tensor(0.1316, dtype=torch.float64, grad_fn=<AddBackward0>)
15 tensor(0.1196, dtype=torch.float64, grad_fn=<AddBackward0>)
16 tensor(0.1349, dtype=torch.float64, grad_fn=<AddBackward0>)
17 tensor(0.1230, dtype=torch.float64, grad_fn=<AddBackward0>)
18 tensor(0.1235, dtype=torch.float64, grad_fn=<AddBackward0>)
19 tensor(0.1239, dtype=torch.float64, grad_fn=<AddBackward0>)
20 tensor(0.1224, dtype=torch.float64, grad_fn=<AddBackward0>)
21 tensor(0.1264, dtype=torch.float64, grad_fn=<AddBackward0>)
22 tensor(0.1289, dtype=torch.float64, grad_fn=<AddBackward0>)
23 tensor(0.1267, dtype=torch.float64, grad_fn=<AddBackward0>)
24 tensor(0.1211, dtype=torch.float64, grad_fn=<AddBackward0>)
25 tensor(0.1301, dtype=torch.float64, grad_fn=<AddBackward0>)
26 tensor(0.1277, dtype=torch.float64, grad_fn=<AddBackward0>)
27 tensor(0.1168, dtype=torch.float64, grad_fn=<AddBackward0>)
28 tensor(0.1298, dtype=torch.float64, grad_fn=<AddBackward0>)
29 tensor(0.1184, dtype=torch.float64, grad_fn=<AddBackward0>)
30 tensor(0.1213, dtype=torch.float64, grad_fn=<AddBackward0>)
31 tensor(0.1266, dtype=torch.float64, grad_fn=<AddBackward0>)
32 tensor(0.1218, dtype=torch.float64, grad_fn=<AddBackward0>)
33 tensor(0.1222, dtype=torch.float64, grad_fn=<AddBackward0>)
34 tensor(0.1226, dtype=torch.float64, grad_fn=<AddBackward0>)
35 tensor(0.1269, dtype=torch.float64, grad_fn=<AddBackward0>)
36 tensor(0.1199, dtype=torch.float64, grad_fn=<AddBackward0>)
37 tensor(0.1238, dtype=torch.float64, grad_fn=<AddBackward0>)
38 tensor(0.1165, dtype=torch.float64, grad_fn=<AddBackward0>)
39 tensor(0.1267, dtype=torch.float64, grad_fn=<AddBackward0>)
40 tensor(0.1247, dtype=torch.float64, grad_fn=<AddBackward0>)
41 tensor(0.1160, dtype=torch.float64, grad_fn=<AddBackward0>)
42 tensor(0.1191, dtype=torch.float64, grad_fn=<AddBackward0>)
43 tensor(0.1201, dtype=torch.float64, grad_fn=<AddBackward0>)
44 tensor(0.1230, dtype=torch.float64, grad_fn=<AddBackward0>)
45 tensor(0.1146, dtype=torch.float64, grad_fn=<AddBackward0>)
46 tensor(0.1171, dtype=torch.float64, grad_fn=<AddBackward0>)
47 tensor(0.1193, dtype=torch.float64, grad_fn=<AddBackward0>)
48 tensor(0.1179, dtype=torch.float64, grad_fn=<AddBackward0>)
49 tensor(0.1185, dtype=torch.float64, grad_fn=<AddBackward0>)
50 tensor(0.1188, dtype=torch.float64, grad_fn=<AddBackward0>)
51 tensor(0.1219, dtype=torch.float64, grad_fn=<AddBackward0>)
52 tensor(0.1201, dtype=torch.float64, grad_fn=<AddBackward0>)
53 tensor(0.1178, dtype=torch.float64, grad_fn=<AddBackward0>)
54 tensor(0.1192, dtype=torch.float64, grad_fn=<AddBackward0>)
55 tensor(0.1177, dtype=torch.float64, grad_fn=<AddBackward0>)
56 tensor(0.1225, dtype=torch.float64, grad_fn=<AddBackward0>)
57 tensor(0.1182, dtype=torch.float64, grad_fn=<AddBackward0>)
58 tensor(0.1208, dtype=torch.float64, grad_fn=<AddBackward0>)
59 tensor(0.1220, dtype=torch.float64, grad_fn=<AddBackward0>)
60 tensor(0.1153, dtype=torch.float64, grad_fn=<AddBackward0>)
61 tensor(0.1191, dtype=torch.float64, grad_fn=<AddBackward0>)
62 tensor(0.1219, dtype=torch.float64, grad_fn=<AddBackward0>)
63 tensor(0.1176, dtype=torch.float64, grad_fn=<AddBackward0>)
64 tensor(0.1177, dtype=torch.float64, grad_fn=<AddBackward0>)
65 tensor(0.1192, dtype=torch.float64, grad_fn=<AddBackward0>)
66 tensor(0.1192, dtype=torch.float64, grad_fn=<AddBackward0>)
67 tensor(0.1176, dtype=torch.float64, grad_fn=<AddBackward0>)
68 tensor(0.1157, dtype=torch.float64, grad_fn=<AddBackward0>)
69 tensor(0.1197, dtype=torch.float64, grad_fn=<AddBackward0>)
70 tensor(0.1176, dtype=torch.float64, grad_fn=<AddBackward0>)
71 tensor(0.1150, dtype=torch.float64, grad_fn=<AddBackward0>)
72 tensor(0.1155, dtype=torch.float64, grad_fn=<AddBackward0>)
73 tensor(0.1170, dtype=torch.float64, grad_fn=<AddBackward0>)
74 tensor(0.1144, dtype=torch.float64, grad_fn=<AddBackward0>)
75 tensor(0.1171, dtype=torch.float64, grad_fn=<AddBackward0>)
76 tensor(0.1140, dtype=torch.float64, grad_fn=<AddBackward0>)
77 tensor(0.1127, dtype=torch.float64, grad_fn=<AddBackward0>)
78 tensor(0.1196, dtype=torch.float64, grad_fn=<AddBackward0>)
79 tensor(0.1169, dtype=torch.float64, grad_fn=<AddBackward0>)
80 tensor(0.1155, dtype=torch.float64, grad_fn=<AddBackward0>)
81 tensor(0.1145, dtype=torch.float64, grad_fn=<AddBackward0>)
82 tensor(0.1186, dtype=torch.float64, grad_fn=<AddBackward0>)
83 tensor(0.1162, dtype=torch.float64, grad_fn=<AddBackward0>)
84 tensor(0.1141, dtype=torch.float64, grad_fn=<AddBackward0>)
85 tensor(0.1138, dtype=torch.float64, grad_fn=<AddBackward0>)
86 tensor(0.1145, dtype=torch.float64, grad_fn=<AddBackward0>)
87 tensor(0.1154, dtype=torch.float64, grad_fn=<AddBackward0>)
88 tensor(0.1139, dtype=torch.float64, grad_fn=<AddBackward0>)
89 tensor(0.1171, dtype=torch.float64, grad_fn=<AddBackward0>)
90 tensor(0.1151, dtype=torch.float64, grad_fn=<AddBackward0>)
91 tensor(0.1168, dtype=torch.float64, grad_fn=<AddBackward0>)
92 tensor(0.1184, dtype=torch.float64, grad_fn=<AddBackward0>)
93 tensor(0.1133, dtype=torch.float64, grad_fn=<AddBackward0>)
94 tensor(0.1151, dtype=torch.float64, grad_fn=<AddBackward0>)
95 tensor(0.1167, dtype=torch.float64, grad_fn=<AddBackward0>)
96 tensor(0.1167, dtype=torch.float64, grad_fn=<AddBackward0>)
97 tensor(0.1151, dtype=torch.float64, grad_fn=<AddBackward0>)
98 tensor(0.1149, dtype=torch.float64, grad_fn=<AddBackward0>)
99 tensor(0.1159, dtype=torch.float64, grad_fn=<AddBackward0>)
100 tensor(0.1124, dtype=torch.float64, grad_fn=<AddBackward0>)
101 tensor(0.1155, dtype=torch.float64, grad_fn=<AddBackward0>)
102 tensor(0.1128, dtype=torch.float64, grad_fn=<AddBackward0>)
103 tensor(0.1152, dtype=torch.float64, grad_fn=<AddBackward0>)
104 tensor(0.1124, dtype=torch.float64, grad_fn=<AddBackward0>)
105 tensor(0.1148, dtype=torch.float64, grad_fn=<AddBackward0>)
106 tensor(0.1153, dtype=torch.float64, grad_fn=<AddBackward0>)
107 tensor(0.1172, dtype=torch.float64, grad_fn=<AddBackward0>)
108 tensor(0.1156, dtype=torch.float64, grad_fn=<AddBackward0>)
109 tensor(0.1127, dtype=torch.float64, grad_fn=<AddBackward0>)
110 tensor(0.1134, dtype=torch.float64, grad_fn=<AddBackward0>)
111 tensor(0.1175, dtype=torch.float64, grad_fn=<AddBackward0>)
112 tensor(0.1146, dtype=torch.float64, grad_fn=<AddBackward0>)
113 tensor(0.1128, dtype=torch.float64, grad_fn=<AddBackward0>)
114 tensor(0.1167, dtype=torch.float64, grad_fn=<AddBackward0>)
115 tensor(0.1130, dtype=torch.float64, grad_fn=<AddBackward0>)
116 tensor(0.1132, dtype=torch.float64, grad_fn=<AddBackward0>)
117 tensor(0.1133, dtype=torch.float64, grad_fn=<AddBackward0>)
118 tensor(0.1122, dtype=torch.float64, grad_fn=<AddBackward0>)
119 tensor(0.1141, dtype=torch.float64, grad_fn=<AddBackward0>)
120 tensor(0.1143, dtype=torch.float64, grad_fn=<AddBackward0>)
121 tensor(0.1126, dtype=torch.float64, grad_fn=<AddBackward0>)
122 tensor(0.1144, dtype=torch.float64, grad_fn=<AddBackward0>)
123 tensor(0.1125, dtype=torch.float64, grad_fn=<AddBackward0>)
124 tensor(0.1124, dtype=torch.float64, grad_fn=<AddBackward0>)
125 tensor(0.1142, dtype=torch.float64, grad_fn=<AddBackward0>)
126 tensor(0.1147, dtype=torch.float64, grad_fn=<AddBackward0>)
127 tensor(0.1137, dtype=torch.float64, grad_fn=<AddBackward0>)
128 tensor(0.1134, dtype=torch.float64, grad_fn=<AddBackward0>)
129 tensor(0.1118, dtype=torch.float64, grad_fn=<AddBackward0>)
130 tensor(0.1152, dtype=torch.float64, grad_fn=<AddBackward0>)
131 tensor(0.1115, dtype=torch.float64, grad_fn=<AddBackward0>)
132 tensor(0.1117, dtype=torch.float64, grad_fn=<AddBackward0>)
133 tensor(0.1149, dtype=torch.float64, grad_fn=<AddBackward0>)
134 tensor(0.1127, dtype=torch.float64, grad_fn=<AddBackward0>)
135 tensor(0.1151, dtype=torch.float64, grad_fn=<AddBackward0>)
136 tensor(0.1143, dtype=torch.float64, grad_fn=<AddBackward0>)
137 tensor(0.1150, dtype=torch.float64, grad_fn=<AddBackward0>)
138 tensor(0.1127, dtype=torch.float64, grad_fn=<AddBackward0>)
139 tensor(0.1121, dtype=torch.float64, grad_fn=<AddBackward0>)
140 tensor(0.1122, dtype=torch.float64, grad_fn=<AddBackward0>)
141 tensor(0.1116, dtype=torch.float64, grad_fn=<AddBackward0>)
142 tensor(0.1122, dtype=torch.float64, grad_fn=<AddBackward0>)
143 tensor(0.1129, dtype=torch.float64, grad_fn=<AddBackward0>)
144 tensor(0.1121, dtype=torch.float64, grad_fn=<AddBackward0>)
145 tensor(0.1127, dtype=torch.float64, grad_fn=<AddBackward0>)
146 tensor(0.1115, dtype=torch.float64, grad_fn=<AddBackward0>)
147 tensor(0.1132, dtype=torch.float64, grad_fn=<AddBackward0>)
148 tensor(0.1128, dtype=torch.float64, grad_fn=<AddBackward0>)
149 tensor(0.1142, dtype=torch.float64, grad_fn=<AddBackward0>)
150 tensor(0.1128, dtype=torch.float64, grad_fn=<AddBackward0>)
151 tensor(0.1162, dtype=torch.float64, grad_fn=<AddBackward0>)
