sex=female,country of birth,log # of previous penal cases,age in years,age at first penal case,offence type,11-20 previous case,>20 previous case,age squared,recidivism_in_4y
0,6,0.0,24.47638604,24.47638604,7,0,0,116.0412997,0
0,1,0.693147181,19.85852451,17.15387628,5,0,0,236.8554324,0
1,7,0.0,26.15468857,26.15468857,4,0,0,82.69982118,0
1,1,2.302585093,52.02938303,42.9486653,4,0,0,281.5935793,1
0,1,0.0,33.04976525,33.04976525,8,0,0,4.8350183630000005,0
0,1,2.079441542,26.30282531,19.10626157,7,0,0,80.02747117,1
0,1,2.397895273,32.32106659,13.84804928,4,0,0,8.57064376,1
0,6,0.0,28.31485284,28.31485284,7,0,0,48.07730415,0
0,2,2.079441542,21.36851133,11.856851,1,0,0,192.6577714,1
0,1,0.0,21.3963039,21.3963039,5,0,0,191.8870152,0
0,1,1.386294361,25.51129363,19.33903602,3,0,0,94.8157735,1
0,1,0.0,48.06228541,48.06228541,4,0,0,164.1896939,1
0,1,0.0,45.56057495,24.61327858,5,1,0,106.3361514,0
0,1,0.693147181,19.47698415,19.36481862,5,0,0,248.7449003,0
0,5,1.945910149,35.21423682,26.47227926,8,0,0,0.001183081,1
0,1,2.397895273,35.11916708,17.68651608,8,0,0,0.016761366,1
0,6,0.0,49.45653662,49.45653662,8,0,0,201.8645317,0
0,1,0.0,23.16495551,23.16495551,7,0,0,146.01525619999998,0
1,1,0.0,55.90641041,55.90641041,7,0,0,426.7437767,0
0,7,0.0,19.93555372,19.93555372,8,0,0,234.4903902,1
0,1,0.0,21.09084053,21.09084053,8,0,0,200.4430813,0
0,1,1.945910149,60.39425051,31.70766925,7,0,0,632.3020915,0
0,1,0.693147181,72.85318491,51.96440794,7,0,0,1414.102341,0
0,6,0.0,22.16837782,22.16837782,8,0,0,171.0930695,0
0,1,1.791759469,39.54444017,16.33456863,7,0,0,18.45396116,0
0,1,0.0,20.60684444,20.60684444,5,0,0,214.3819657,0
0,1,0.0,18.42289886,18.42289886,4,0,0,283.1053218,0
0,1,1.386294361,44.27721262,23.18507646,7,0,0,81.51525407,0
0,1,0.0,65.67830253,65.67830253,8,0,0,925.9648017,0
0,7,2.302585093,41.11728338,31.5747682,7,0,0,34.44105995,1
0,1,0.693147181,72.41341547,72.0,8,0,0,1381.221073,0
1,3,0.0,37.23095261,37.23095261,6,0,0,3.929591925,1
0,6,0.0,33.44010951,33.44010951,8,0,0,3.270756378,0
0,4,0.0,33.56247211,33.56247211,1,0,0,2.8431377660000003,0
0,7,0.0,33.31452344,14.46313563,4,1,0,3.740778901,1
0,1,1.609437912,41.91227926,26.82427469,7,0,0,44.40418451,0
0,6,0.0,20.96098563,20.96098563,7,0,0,204.136861,0
0,1,0.0,30.12740278,30.12740278,7,0,0,26.22699663,0
0,1,1.098612289,54.58206996,46.50501277,8,0,0,373.7817935,1
0,1,0.0,37.13976256,37.13976256,4,0,0,3.576371876,0
1,7,0.0,42.21218344,42.21218344,6,0,0,48.49103784,0
0,1,2.079441542,39.63312799,23.39792075,8,0,0,19.22379835,1
0,1,1.386294361,54.91581109,28.61327858,7,0,0,386.7979029,1
0,4,2.302585093,24.56762615,16.73463223,1,0,0,114.0839025,1
0,1,2.397895273,25.47877472,17.50787791,7,0,0,95.45012644,1
0,1,1.386294361,39.28714075,16.82409309,7,0,0,16.309546700000002,0
0,2,1.791759469,23.11293634,14.92439964,6,0,0,147.2751278,1
0,6,0.0,29.59069131,29.59069131,4,0,0,32.01230163,1
0,1,2.302585093,22.56780855,14.53563465,1,0,0,160.8033031,1
0,6,0.0,23.75633128,23.75633128,8,0,0,132.0729936,0
0,7,1.609437912,45.71115674,39.23453935,1,0,0,109.4644078,1
0,1,0.0,45.58795346,16.47554469,1,1,0,106.9015522,1
1,1,0.0,65.8451694,65.8451694,1,0,0,936.1480537999998,0
0,1,0.0,18.87040136,18.87040136,4,0,0,268.2464642,0
0,2,0.0,35.42231348,17.42642026,3,1,0,0.030164989,1
1,3,2.302585093,50.83247538,21.17200357,5,0,0,242.8561503,0
0,1,1.098612289,45.2975309,16.63599425,7,0,0,100.9803535,0
0,1,0.693147181,26.67446501,26.39601532,6,0,0,73.51635283,0
0,1,0.0,40.83778234,40.83778234,4,0,0,31.23859289,0
0,1,0.0,20.14236824,20.14236824,4,0,0,228.1992281,1
0,7,0.0,31.65776865,31.65776865,4,0,0,12.89430514,0
0,1,1.791759469,34.08811776,23.85763176,7,0,0,1.3467950969999998,0
0,1,0.0,36.6552646,18.09200291,5,0,1,1.978613084,1
0,1,0.693147181,28.5338809,18.50787132,5,0,0,45.08789267,0
0,1,2.079441542,20.83350473,16.80106871,5,0,0,207.7959164,1
0,7,0.0,20.26283368,20.26283368,7,0,0,224.5741746,1
1,6,0.0,45.55362464,45.55362464,1,0,0,106.1928574,0
0,1,0.0,36.67055289,17.49005827,4,0,1,2.02185683,1
0,1,0.0,40.73408311,40.73408311,8,0,0,30.09016535,0
0,1,1.098612289,21.35193817,18.28004325,4,0,0,193.1181209,0
0,2,0.0,33.92197125,33.92197125,8,0,0,1.76003079,0
0,1,1.386294361,36.906431,31.32654939,7,0,0,2.748294969,0
0,6,2.302585093,26.97418609,15.71030281,5,0,0,68.46646789,0
0,1,1.098612289,28.20398722,22.14647502,7,0,0,49.62703101,1
1,1,2.302585093,37.2822996,19.8110883,5,0,0,4.135800782,0
0,4,1.609437912,29.11238957,23.68514716,6,0,0,37.65348068,1
1,4,0.0,28.24640657,28.24640657,4,0,0,49.03117179,0
0,1,0.693147181,49.49261129,45.75679285,7,0,0,202.890924,0
0,1,0.0,25.2563232,25.2563232,4,0,0,99.84625061,1
0,4,0.0,55.12248682,55.12248682,4,0,0,394.9700746,0
1,1,0.0,61.07695081,61.07695081,1,0,0,667.1020128,0
0,1,1.098612289,30.75953723,18.03969884,4,0,0,20.15197882,1
0,1,0.693147181,48.84009624,48.4168721,6,0,0,184.7278791,0
0,1,1.945910149,41.21130561,20.12046543,7,0,0,35.55346739,1
0,1,0.0,54.67488022,22.34391506,4,0,1,377.3790898,1
0,6,0.0,25.01574264,25.01574264,4,0,0,104.7120404,0
1,1,0.0,61.72210815,61.72210815,4,0,0,700.8448983,1
0,1,1.609437912,40.82672741,20.14355084,5,0,0,31.11513981,0
0,1,2.397895273,52.32178198,31.95218391,8,0,0,291.4924238,1
0,1,1.609437912,60.83230664,14.69404517,1,0,0,654.5243684999999,1
0,1,1.098612289,26.49691992,20.59827154,5,0,0,76.5924779,1
0,6,0.0,20.64887064,20.64887064,7,0,0,213.15305440000003,0
0,4,0.0,27.74811773,27.74811773,5,0,0,56.25772595,1
0,1,0.0,34.63758068,34.63758068,1,0,0,0.3733846629999999,0
0,1,0.0,58.92013445,33.51978319,4,1,0,560.3399918,1
0,2,0.0,39.104073,39.104073,4,0,0,14.86441932,0
0,1,0.0,65.42642026,65.42642026,4,0,0,910.6988576,0
0,1,0.693147181,45.49760438,24.00829306,7,0,0,105.041419,0
0,1,0.0,35.25256674,35.25256674,7,0,0,1.55e-05,0
0,6,0.0,40.59958932,15.58658453,4,0,1,28.63273599,1
0,7,0.0,37.0114523,17.60499854,5,0,1,3.107532673,1
0,1,0.0,48.04625371,48.04625371,1,0,0,163.7791016,1
0,3,0.0,32.68700931,13.34485303,4,0,1,6.561914767,1
0,1,1.609437912,19.78057092,17.01723033,5,0,0,239.2609374,1
0,1,0.0,30.08910846,30.08910846,7,0,0,26.62069118,0
0,7,0.0,27.28773776,27.28773776,7,0,0,63.37584948,1
1,1,0.0,20.42361669,20.42361669,7,0,0,219.7811019,1
0,2,0.693147181,18.12338635,17.73371622,4,0,0,293.27406510000003,1
0,7,0.693147181,38.52134003,33.65921059,5,0,0,10.71061276,1
0,5,0.0,36.76933607,18.53251198,5,1,0,2.312538521,0
0,7,0.693147181,45.88090349,28.91170431,4,0,0,113.04518059999998,0
0,1,0.0,25.76378036,12.03832991,1,0,1,89.96242535,0
0,1,1.098612289,22.67183458,15.58041413,6,0,0,158.17585269999998,1
1,1,0.0,30.94041572,30.94041572,7,0,0,18.56073421,0
0,1,0.0,25.00853458,13.95756331,1,1,0,104.85961090000002,1
0,1,1.386294361,24.41478829,17.61806982,7,0,0,117.3721862,0
1,1,0.0,37.46601288,37.46601288,7,0,0,4.91677453,1
0,6,0.0,25.41546886,25.41546886,4,0,0,96.6911126,0
0,1,0.0,39.2881588,14.025497,3,0,1,16.31777048,1
0,1,0.0,21.54691697,21.54691697,7,0,0,187.7370159,1
0,1,0.0,61.27192248,61.27192248,7,0,0,677.2116074,0
0,6,0.0,25.58521561,25.58521561,7,0,0,93.38163135,0
0,1,2.397895273,29.48840438,17.78234086,6,0,0,33.18023116,0
0,1,0.693147181,18.7816564,15.23595609,5,0,0,271.1613109,1
1,1,1.098612289,20.00276165,17.93237781,5,0,0,232.4365863,1
0,1,1.098612289,42.90116723,23.09103354,5,0,0,58.56128363,1
0,5,1.791759469,42.73890071,28.21355236,7,0,0,56.10411375,0
0,1,0.693147181,62.94115326,56.26445791,4,0,0,766.8756907000001,0
1,7,0.0,26.66666667,26.66666667,8,0,0,73.65014225,0
0,5,0.0,33.94934976,13.47560334,4,0,1,1.688136347,1
1,7,0.693147181,31.9835729,26.00684463,1,0,0,10.66061601,0
0,1,0.0,59.33470226,59.33470226,7,0,0,580.1387432999999,0
0,1,0.0,38.47275493,38.47275493,7,0,0,10.39496369,0
0,1,1.386294361,59.97875377,32.60030763,4,0,0,611.5788846,0
0,1,0.0,48.3559206,48.3559206,1,0,0,171.8009942,0
0,1,0.0,18.37129173,18.37129173,8,0,0,284.84464060000005,1
1,1,0.0,47.04028367,47.04028367,4,0,0,139.04303090000002,0
1,1,0.0,53.79876797,53.79876797,7,0,0,344.1075157,1
0,1,0.0,27.56265806,27.56265806,8,0,0,59.07420729,0
0,1,0.0,34.33812457,14.21218344,4,0,1,0.829025184,1
0,3,1.791759469,32.34600559,23.93429158,5,0,0,8.425244565,1
0,1,0.693147181,22.47468442,22.2532512,7,0,0,163.1737566,0
1,1,0.693147181,43.99777024,43.05390404,7,0,0,76.54740635,0
0,1,0.693147181,57.40339018,36.58061595,4,0,0,490.8332758,0
0,1,2.197224577,22.50513347,13.4540871,6,0,0,162.39677450000002,1
0,1,1.386294361,24.0566897,15.27863798,8,0,0,125.2595897,1
0,1,0.0,47.16525376,46.9517385,7,0,0,142.00585569999998,1
0,7,0.693147181,35.69423936,30.39883866,1,0,0,0.19856523,0
0,1,1.945910149,49.48915732,37.99041752,7,0,0,202.7925393,0
1,1,0.693147181,38.44490075,37.27014469,7,0,0,10.216129,0
1,2,2.197224577,31.20068446,17.98209078,4,0,0,16.38588552,1
0,7,0.0,20.0368149,20.0368149,4,0,0,231.3994029,0
0,5,0.0,36.95824778,15.68467935,4,1,0,2.922783457,1
0,1,2.197224577,46.86379192,18.08946339,4,0,0,134.9119221,1
