dataset,diversity_fn,repulsion_weight,n_models,accept_rate,eps,mcmc_pred_hamming,ellipsoid_pred_hamming_avg,ellipsoid_pred_hamming_std,mcmc_support_hamming,ellipsoid_support_hamming_avg,ellipsoid_support_hamming_std,mcmc_weight_l1,ellipsoid_weight_l1_avg,ellipsoid_weight_l1_std,mcmc_shape_l1,ellipsoid_shape_l1_avg,ellipsoid_shape_l1_std,mcmc_monotonicity_entropy,ellipsoid_monotonicity_entropy_avg,ellipsoid_monotonicity_entropy_std,n_ellipsoids,runtime_s
adult,monotonicity_entropy,0.0,1008,0.235,0.05,0.03326624521208683,0.018452719606875355,0.004635956870178953,0.3617417364165129,0.0,0.0,0.2814135483288631,0.1093163169946273,0.02841406973088661,0.3353949475781308,0.17018700499940106,0.044951880289793154,0.2101072345963516,0.09345743375228631,0.06898681354226803,48,2247.634883403778
adult,monotonicity_entropy,0.0001,945,0.2472,0.05,0.033217461662631155,0.01858361124726868,0.0055636272216863505,0.35246838848533757,0.0,0.0,0.2722093035049228,0.10922254929806174,0.035067900538215846,0.33061399827349863,0.16456599276814762,0.05307940421827187,0.2409377822380729,0.09124059549840584,0.07284624333372243,45,2135.7599267959595
adult,monotonicity_entropy,0.001,1113,0.2533,0.05,0.032990911206344904,0.01677855049951229,0.005098173332145851,0.3702526280862103,0.0,0.0,0.28023934715550053,0.10464441343738555,0.0327331896845616,0.3428413378562039,0.15963050771491333,0.05118088915271557,0.24787939071430118,0.0876819931995214,0.07510045324141343,53,2282.7755262851715
adult,monotonicity_entropy,0.01,1136,0.2482,0.05,0.03427883306446607,0.01873483572401239,0.005914084345896396,0.36180364418522887,0.0,0.0,0.28000103739281085,0.11047256841873276,0.034379755011431284,0.3424125263741059,0.17368936629744886,0.05564163256079386,0.2886903493407253,0.09730088981744427,0.07833925917427335,55,2219.2494065761566
adult,monotonicity_entropy,0.02,928,0.2323,0.05,0.03500177203065135,0.020108152474728073,0.006003506208932703,0.3495680355615073,0.0,0.0,0.28338502613970423,0.11603587985670254,0.03463382172452791,0.3519800234363549,0.1874688349430587,0.05943422414714432,0.3139787392016345,0.10358624760746289,0.06928053317530215,46,2022.7738857269287
adult,monotonicity_entropy,0.03,766,0.2369,0.05,0.034974688305261195,0.020490330693869685,0.00844331234014862,0.34839040484194833,0.0,0.0,0.2757186810372937,0.11897028850397057,0.0502544199287012,0.34326944153173017,0.18531242081514313,0.07380686256417995,0.38065017762183034,0.11183836864814085,0.09030734914640783,39,2078.3967094421387
adult,monotonicity_entropy,0.04,967,0.2156,0.05,0.03695788087637376,0.02290264153491796,0.006610431225869229,0.33273007166087526,0.0,0.0,0.29687977010949335,0.1316217833770332,0.038463700103219985,0.3671882419489972,0.2089470538699514,0.0626545975339487,0.4297108593446972,0.13040439740125584,0.08515422033427693,46,1995.6516127586365
adult,monotonicity_entropy,0.05,905,0.231,0.05,0.0363468884760182,0.018928301811997863,0.0075009383339632515,0.36595661598135565,0.0,0.0,0.29873302449254496,0.11167435244043222,0.047043624304254184,0.34928245673188424,0.17812764443765639,0.07554324777787437,0.42923987072210695,0.11195530639319949,0.09124238850044361,44,2107.424204349518
adult,monotonicity_entropy,1e-05,1050,0.2267,0.05,0.03506948368060284,0.019869148683046355,0.005236983023985239,0.3442108130192019,0.0,0.0,0.27981936347859304,0.11629640417419697,0.03304268991392928,0.33682475639423537,0.1838572072316545,0.05031541076888528,0.21450214660429304,0.09492319853583657,0.07257290157430009,50,2034.6220819950104
adult,prediction_hamming,0.0,1008,0.235,0.05,0.03326624521208683,0.018452719606875355,0.004635956870178953,0.3617417364165129,0.0,0.0,0.2814135483288631,0.1093163169946273,0.02841406973088661,0.3353949475781308,0.17018700499940106,0.044951880289793154,0.2101072345963516,0.09345743375228631,0.06898681354226803,48,2186.790857553482
adult,prediction_hamming,0.0001,840,0.227,0.05,0.03259537658209887,0.015142383595323178,0.0067419939966929686,0.34163936659288263,0.0,0.0,0.25281010812897714,0.08520093583006179,0.03858634794148002,0.2955571052545962,0.13522836084174764,0.06324813469398355,0.2092261313876281,0.08248171647269667,0.07249949350437948,40,2025.2019596099854
adult,prediction_hamming,0.001,987,0.2511,0.05,0.033926333614883945,0.016983181919241582,0.005992099140750408,0.3597586748076585,0.0,0.0,0.2747439957284999,0.10303381733210196,0.037802430190671886,0.3291184077250956,0.16038096466613844,0.05745595572762638,0.18586509639093554,0.07434877111872373,0.06441192726748682,47,2078.6325976848602
adult,prediction_hamming,0.01,737,0.231,0.05,0.05387523892395731,0.02880349460391397,0.008292410831798377,0.3714888010540183,0.0,0.0,0.34677100721000537,0.1732361804929873,0.05294437639457036,0.43348530512446176,0.2701202275360545,0.07857359129841954,0.26623271729655623,0.13455675463448843,0.07179376033522651,37,1863.0338311195374
adult,prediction_hamming,0.02,219,0.1991,0.05,0.05080681161241674,0.02653021499787829,0.011903407429621116,0.3514266962702302,0.0,0.0,0.3293216408461709,0.15276802990597227,0.07134495953888098,0.42720953264555805,0.23958176568932465,0.11141688745777206,0.21570950132297184,0.09577010173516295,0.060508679720193595,11,1699.8589220046997
adult,prediction_hamming,0.03,154,0.1964,0.05,0.04840196078431373,0.024544658354657845,0.014468190771661173,0.3271504965622613,0.0,0.0,0.3025133965996726,0.1389826207848978,0.08352986768970863,0.40331423690769735,0.21966694786963864,0.13261338192328465,0.3076743944822906,0.13036215882074811,0.10356635752663536,7,1609.8631989955902
adult,prediction_hamming,0.04,51,0.1677,0.05,0.02563654901960784,0.011594221186824565,0.013160496139908606,0.24350326797385624,0.0,0.0,0.15668977147854196,0.06781174268258276,0.08200598594258096,0.19230218414369948,0.10154822428598757,0.12147575378640177,0.08568295767928426,0.03783792437755773,0.047722495040123505,3,1594.5653777122498
adult,prediction_hamming,0.05,46,0.1598,0.05,0.01981217391304348,0.002252591973244147,0.002252591973244147,0.221597423510467,0.0,0.0,0.14497629387625705,0.010061666649998108,0.010033280017027302,0.16139985130113768,0.01636003862268487,0.016321202098468865,0.07536494525671165,0.018287336630614656,0.018287336630614656,2,1420.5234410762787
adult,prediction_hamming,1e-05,1029,0.2325,0.05,0.03282921804630691,0.018486265810085206,0.0050567419242427735,0.3529775297185763,0.0,0.0,0.2754113065086757,0.11066583998150446,0.030775222922914184,0.33777840330221176,0.16899739337086978,0.049603044674422454,0.20099793908622124,0.08182452633268825,0.06046190035642489,49,2116.3513131141663
adult,support_jaccard,0.0,1008,0.235,0.05,0.03326624521208683,0.018452719606875355,0.004635956870178953,0.3617417364165129,0.0,0.0,0.2814135483288631,0.1093163169946273,0.02841406973088661,0.3353949475781308,0.17018700499940106,0.044951880289793154,0.2101072345963516,0.09345743375228631,0.06898681354226803,48,2333.742320537567
adult,support_jaccard,0.0001,1092,0.2426,0.05,0.03451787720376172,0.016928732810349498,0.006499714670154739,0.36801246518020103,0.0,0.0,0.28693034452348165,0.10297898013017873,0.041413922779385395,0.3375279972557822,0.16392451745898473,0.06572110359008763,0.20311390639657936,0.08799860972228359,0.06737213414952097,52,2087.346449613571
adult,support_jaccard,0.001,1176,0.2515,0.05,0.03442775481256332,0.018505020642462795,0.005199263334451864,0.36874858879722094,0.0,0.0,0.29304677587182004,0.11313025445009628,0.032377923995188615,0.3546138470212982,0.17448595263095276,0.05222198041778749,0.21208741571972475,0.0924185896025731,0.062146950015298685,56,2231.6421222686768
adult,support_jaccard,0.01,1283,0.2629,0.05,0.03988600625240911,0.023673566875332827,0.005801529492498003,0.378768754491411,0.0,0.0,0.32885897457129437,0.1349948903636334,0.03279469184184426,0.39263069031692654,0.21899137013100498,0.05529091462404167,0.2602890135955496,0.10045445402717768,0.07358226574909728,62,2117.9286992549896
adult,support_jaccard,0.02,1120,0.2651,0.05,0.04283343323120132,0.02579960474685046,0.006403905745916892,0.38711976041533674,0.0,0.0,0.35368996852875334,0.1516298361934799,0.04160719803649341,0.4165348298705012,0.24109297247849476,0.06731121065815568,0.2535463363187422,0.11002560573814385,0.0690206149843677,54,2004.1904940605164
adult,support_jaccard,0.03,711,0.2327,0.05,0.046119717121293154,0.028936273198717447,0.007504543463361595,0.37673839002132814,0.0,0.0,0.3611822117487756,0.15550968638073015,0.04290591161245882,0.4381168633593405,0.26730878069127784,0.07092983611916019,0.24338297954616994,0.09598168012473607,0.06832542578822558,35,1689.6765689849854
adult,support_jaccard,0.04,548,0.2348,0.05,0.046692752105045435,0.030368272483823212,0.0077709212644496775,0.3754057299937283,0.0,0.0,0.3621076442731299,0.1644656363932748,0.04686079381367977,0.45147817128980416,0.2808241950100424,0.0790260682888366,0.24313595697525622,0.09623893249539249,0.06631675739730084,33,1647.7501118183136
