dataset,diversity_fn,repulsion_weight,n_models,accept_rate,eps,mcmc_pred_hamming,ellipsoid_pred_hamming_avg,ellipsoid_pred_hamming_std,mcmc_support_hamming,ellipsoid_support_hamming_avg,ellipsoid_support_hamming_std,mcmc_weight_l1,ellipsoid_weight_l1_avg,ellipsoid_weight_l1_std,mcmc_shape_l1,ellipsoid_shape_l1_avg,ellipsoid_shape_l1_std,mcmc_monotonicity_entropy,ellipsoid_monotonicity_entropy_avg,ellipsoid_monotonicity_entropy_std,n_ellipsoids,runtime_s
bike_binarized,monotonicity_entropy,0.0,1239,0.2802,0.05,0.02845453900625995,0.020391191273363186,0.004279387859302528,0.4004381041044879,0.0,0.0,0.3440478129798328,0.11324927944180954,0.022435281171644124,1.4364357269051318,0.6360725996224187,0.14098316644327988,0.39702813801507814,0.11340687080163309,0.061992040361516274,59,2351.249841928482
bike_binarized,monotonicity_entropy,0.0001,1218,0.2807,0.05,0.02897082586186657,0.020957010938497535,0.004490084705058511,0.39688946816649195,0.0,0.0,0.34616722997598354,0.11324303126025909,0.027095545965770896,1.4262840365496923,0.6405504506476873,0.17898720267320892,0.40457339156722444,0.1233789520451588,0.05582810674134504,58,2258.963025331497
bike_binarized,monotonicity_entropy,0.001,1260,0.2719,0.05,0.02882282070678417,0.02082324087726926,0.005080355798512566,0.3892644956314536,0.0,0.0,0.33226018859387785,0.11079329536675543,0.024871918666447442,1.5156097819145775,0.6077460842729301,0.1512520854607814,0.4537174718511719,0.1309123840040344,0.0710849231178275,60,2228.0887575149536
bike_binarized,monotonicity_entropy,0.01,1260,0.2669,0.05,0.028292951826216325,0.019918179034575316,0.005029198126457395,0.38996505162827627,0.0,0.0,0.33332644283696866,0.11319960842643625,0.02860769688478717,1.450166665759949,0.6305187849192309,0.16732052534245284,0.4531018080399209,0.13100091947092868,0.07222695993862055,60,2320.043121814728
bike_binarized,monotonicity_entropy,0.02,714,0.2329,0.05,0.030148958713920346,0.02172404891159745,0.0065716394591802795,0.372446874963169,0.0,0.0,0.3246464948932529,0.11120965929832048,0.02846298710660255,1.3339271780692714,0.6270492488854557,0.16855752070418595,0.48829236256785874,0.15490310462987322,0.09465057625326324,35,1984.581561088562
bike_binarized,monotonicity_entropy,0.03,1197,0.2493,0.05,0.03042534988530411,0.02209619424511602,0.0049231021283490115,0.3866819221967965,0.0,0.0,0.3447182332602634,0.11904711129333921,0.030335507927825276,1.5271181666605258,0.6737552252890421,0.19231302347139012,0.5031016469522699,0.1496104215305133,0.07494971041280943,57,2274.411225795746
bike_binarized,monotonicity_entropy,0.04,966,0.2201,0.05,0.03122949098359776,0.022703501598887427,0.005421478509740439,0.3774543816174814,0.0,0.0,0.33299939196248296,0.12010576426967341,0.02603926233887758,1.616493105306965,0.6643065987828471,0.16142710580427835,0.5518563652754268,0.17717845456972595,0.06804208932064121,46,2001.722148180008
bike_binarized,monotonicity_entropy,0.05,987,0.2071,0.05,0.0305305219373149,0.02188877160098896,0.005308589295211702,0.37403823745198733,0.0,0.0,0.32938528786456817,0.11916738501991511,0.030224879858153295,1.5035870409587142,0.6760407120331966,0.20304586801117022,0.574710576066756,0.17600493948860604,0.08535990341876529,47,2005.9270219802856
bike_binarized,monotonicity_entropy,1e-05,1197,0.2708,0.05,0.02820371106137697,0.020416501807104134,0.005271211913855763,0.39267030452385143,0.0,0.0,0.33149241641371435,0.10836008617136617,0.027072566755060652,1.428339903097643,0.5931150264701673,0.1627573393406566,0.4111161858006372,0.12435480049418358,0.061123958348666296,57,2133.321239233017
bike_binarized,prediction_hamming,0.0,1239,0.2802,0.05,0.02845453900625995,0.020391191273363186,0.004279387859302528,0.4004381041044879,0.0,0.0,0.3440478129798328,0.11324927944180954,0.022435281171644124,1.4364357269051318,0.6360725996224187,0.14098316644327988,0.39702813801507814,0.11340687080163309,0.061992040361516274,59,2305.88578414917
