dataset,diversity_fn,repulsion_weight,n_models,accept_rate,eps,mcmc_pred_hamming,ellipsoid_pred_hamming_avg,ellipsoid_pred_hamming_std,mcmc_support_hamming,ellipsoid_support_hamming_avg,ellipsoid_support_hamming_std,mcmc_weight_l1,ellipsoid_weight_l1_avg,ellipsoid_weight_l1_std,mcmc_shape_l1,ellipsoid_shape_l1_avg,ellipsoid_shape_l1_std,mcmc_monotonicity_entropy,ellipsoid_monotonicity_entropy_avg,ellipsoid_monotonicity_entropy_std,n_ellipsoids,runtime_s
fico,monotonicity_entropy,0.0,95,0.2571,0.05,0.10950804031354983,0.08181613637106078,0.022180957552859537,0.3377011916899266,0.0,0.0,0.1276269722106732,0.14720196387013829,0.05354135065577892,0.27616536121018287,0.594215560547494,0.2607013638522585,0.2524420184357779,0.2994326849069726,0.07554532993261726,78,832.0563983917236
fico,monotonicity_entropy,0.0001,91,0.2487,0.05,0.11414964590964592,0.08653142102048395,0.024196386656445752,0.3365917664425127,0.0,0.0,0.12779429187249985,0.1553542736050175,0.05537981186160885,0.2810845784130028,0.6015637023657514,0.2536957708721515,0.241544395201628,0.29550937661081544,0.08794569568740135,75,806.3175864219666
fico,monotonicity_entropy,0.001,83,0.2469,0.05,0.09871295915368793,0.08367426778756822,0.02120395296566494,0.32330559953684407,0.0,0.0,0.11991928123918627,0.13602801857650515,0.049117130902018975,0.2566144881991155,0.5202917909924941,0.26552225544905655,0.24662858698320517,0.28929287028183764,0.07960259813248441,76,848.4163579940796
fico,monotonicity_entropy,0.01,95,0.2413,0.05,0.10643189249720045,0.0828628333704,0.020075599423116382,0.3224716284200498,0.0,0.0,0.1208222875434908,0.14031754997285728,0.04556853240975672,0.2536666282257777,0.5226511169374668,0.21151805220998063,0.28981872139847065,0.2962581613124441,0.07790727858289755,79,782.5537736415863
fico,monotonicity_entropy,0.02,96,0.24,0.05,0.11153162280701753,0.08563905478659939,0.02197597359432324,0.3257266300078555,0.0,0.0,0.11938772234853191,0.15660210802787614,0.053229744469928154,0.2653453984559935,0.6344134000485775,0.2671807747021115,0.3086213598777089,0.30508593735383993,0.07346645175065765,80,756.351704120636
fico,monotonicity_entropy,0.03,87,0.2309,0.05,0.10469558941459503,0.08650653659197814,0.0214641247020027,0.31813666231792126,0.0,0.0,0.11824028161912602,0.14762736179040764,0.05005563689696469,0.257078063954518,0.6005029910936166,0.24651019628049647,0.34310393409659845,0.29942443213999664,0.0739396027848189,75,739.9505889415741
fico,monotonicity_entropy,0.04,86,0.2163,0.05,0.1039250068399453,0.08610419178844836,0.022842673764242566,0.3087265451130123,0.0,0.0,0.11837901541597834,0.14584402386363957,0.05434189218549828,0.26843982045595544,0.6184182577753925,0.3015015192512131,0.3395808872144482,0.2767181312921228,0.07790597539736326,72,1997.380485534668
fico,monotonicity_entropy,0.05,100,0.2225,0.05,0.09799567676767677,0.08633197912359399,0.020044040803702378,0.3081516659128599,0.0,0.0,0.11584127342393148,0.1504033881625437,0.05213120757656431,0.2652529919870989,0.6034661337293962,0.2579156267447124,0.3362844510147151,0.3046962670355405,0.06784534014574203,92,724.4694921970367
fico,monotonicity_entropy,0.1,87,0.2228,0.05,0.09212563485699013,0.08300458813296345,0.019524565143714402,0.3251026343822188,0.0,0.0,0.11835080389127987,0.1567497067834608,0.05986169621507004,0.2686468593414517,0.6458683712481099,0.3423665557131696,0.38668407216903317,0.3034210005793807,0.07708781232148063,71,743.7340214252472
fico,monotonicity_entropy,1e-05,89,0.2428,0.05,0.10183983656792646,0.08131784331573749,0.021257815185843295,0.324687847788636,0.0,0.0,0.12293721899716273,0.15010202876134723,0.05567528342654945,0.2771598559879972,0.6185788651128733,0.2793670238102564,0.25847797579149956,0.2961262453113315,0.07229763742411283,74,785.8528606891632
