dataset,diversity_fn,repulsion_weight,n_models,accept_rate,eps,mcmc_pred_hamming,ellipsoid_pred_hamming_avg,ellipsoid_pred_hamming_std,mcmc_support_hamming,ellipsoid_support_hamming_avg,ellipsoid_support_hamming_std,mcmc_weight_l1,ellipsoid_weight_l1_avg,ellipsoid_weight_l1_std,mcmc_shape_l1,ellipsoid_shape_l1_avg,ellipsoid_shape_l1_std,mcmc_monotonicity_entropy,ellipsoid_monotonicity_entropy_avg,ellipsoid_monotonicity_entropy_std,n_ellipsoids,runtime_s
mgh,monotonicity_entropy,0.0,353,0.3258,0.05,0.006945151944372907,0.003601601334706357,0.001150866670297039,0.30670758293959705,0.0,0.0,0.2636558895032237,0.09520352945109732,0.028676747792367414,0.48233844832198525,0.22252611603720868,0.07269717237357876,0.29162628398132506,0.08956458504896433,0.060560241076292744,23,1332.045612335205
mgh,monotonicity_entropy,0.0001,136,0.3271,0.05,0.006457734204793028,0.003965557805158425,0.0014864484942483196,0.27690523954356216,0.0,0.0,0.24188196438931053,0.09149176514105391,0.03467804727220772,0.4019946302260943,0.2069805503247919,0.08452955962466902,0.24644703008226276,0.08225248929496104,0.06377659902230742,9,1160.6533017158508
mgh,monotonicity_entropy,0.001,182,0.3033,0.05,0.006728662497723271,0.004184257644174936,0.0014592708734263234,0.2740850856380641,0.0,0.0,0.2281074074141145,0.08971337324272473,0.02859967477706426,0.46520462197559703,0.24427295241049085,0.09332105722698195,0.22472899489144016,0.0849067642509178,0.035786802624832074,13,1207.1331400871277
mgh,monotonicity_entropy,0.01,142,0.3003,0.05,0.0067800419538507645,0.003828323941707217,0.0015595461620557243,0.3056004731429091,0.0,0.0,0.25193723951603636,0.0977629241630426,0.034936742503178145,0.46596558062610693,0.24035205361960368,0.0945471092382032,0.3266456092447062,0.1093385970985048,0.06854968084836835,10,1230.2471113204956
mgh,monotonicity_entropy,0.02,154,0.2846,0.05,0.006562464985994398,0.0037566341059453554,0.0015704415277132827,0.29058704189746704,0.0,0.0,0.2352825157692573,0.08925642415184051,0.03382271166759323,0.4302759043118593,0.21962105059579476,0.09008001641932492,0.33049607599221176,0.0945983719843006,0.06642229563917176,9,1247.1918478012085
mgh,monotonicity_entropy,0.03,105,0.2756,0.05,0.006709523809523809,0.003777803062719622,0.0017440841298308751,0.2715337467812715,0.0,0.0,0.2344534897216413,0.09481692342443687,0.042904706350864186,0.46590586648015186,0.2484144338600358,0.11473029013356459,0.32518999114837394,0.09763490600825435,0.07350636675575359,6,1167.3822433948517
mgh,monotonicity_entropy,0.04,33,0.2634,0.05,0.0039037878787878785,0.0,0.0,0.20000750075007498,0.0,0.0,0.14054652919685715,4.019534263145727e-05,0.0,0.22781258912515712,5.994232484753079e-05,0.0,0.21409033070062997,0.0,0.0,1,872.5141189098358
mgh,monotonicity_entropy,0.05,159,0.2821,0.05,0.006475121407531248,0.0030466605308001153,0.0015947670132573284,0.3085457817336546,0.0,0.0,0.239422438368345,0.08436744896842792,0.04474763843110165,0.4003466229180236,0.18816738314502507,0.11581095447730437,0.3121706587233326,0.10359309751220318,0.05374160046929926,9,1081.9407968521118
mgh,monotonicity_entropy,1e-05,229,0.3241,0.05,0.007036098981077148,0.0035485073636345077,0.0013819213329425038,0.29792703471680193,0.0,0.0,0.24953312619214435,0.0886114737741508,0.03217928780448286,0.4719719663172007,0.20139464248153746,0.07008058918283881,0.2679448611468207,0.06368427026607744,0.04321541606440302,14,1201.5624740123749
mgh,prediction_hamming,0.0,353,0.3258,0.05,0.006945151944372907,0.003601601334706357,0.001150866670297039,0.30670758293959705,0.0,0.0,0.2636558895032237,0.09520352945109732,0.028676747792367414,0.48233844832198525,0.22252611603720868,0.07269717237357876,0.29162628398132506,0.08956458504896433,0.060560241076292744,23,625.427027463913
mgh,prediction_hamming,0.0001,286,0.3233,0.05,0.007283469512943197,0.00390528254733055,0.0013075179563942934,0.28890800011175205,0.0,0.0,0.24916889269822148,0.09177169431783082,0.030089669722211602,0.4722345855187869,0.22616778813466856,0.08333220138208772,0.25221847571785627,0.07807294339818426,0.05285292375022565,18,678.6132035255432
mgh,prediction_hamming,0.001,251,0.3458,0.05,0.007177447011952192,0.004189941269207913,0.0013822148638828746,0.28253686245118537,0.0,0.0,0.25526057857168677,0.08772190363099382,0.030716029660773365,0.4421478723418675,0.20389940885816166,0.08132732959673002,0.24378358654981377,0.06474117067976984,0.04778143257086183,16,706.4440333843231
mgh,prediction_hamming,0.01,59,0.358,0.05,0.007899006428988895,0.003020194118499203,0.003020194118499203,0.23754274901481962,0.0,0.0,0.20505064134015838,0.04701542245521616,0.04697532564627757,0.31531029087676793,0.0867710975891488,0.08671308293697283,0.16029918517931727,0.04840732108838513,0.04840732108838513,2,608.1146438121796
mgh,prediction_hamming,0.02,40,0.3559,0.05,0.005487435897435898,0.0025626666666666667,0.0025626666666666667,0.191990352881442,0.0,0.0,0.158982409503679,0.04872550241437557,0.04868577136220131,0.28154457147023243,0.13244853633249062,0.13238947270419724,0.15868498533661712,0.050342574499854555,0.050342574499854555,2,712.6222953796387
mgh,prediction_hamming,0.03,24,0.3324,0.05,0.0017891304347826085,0.0026,0.0026,0.06561199598220692,0.0,0.0,0.04684148665987045,0.04492610578068487,0.044886691558042924,0.08802223885306396,0.09101056911451305,0.09094937562139017,0.06889092311629039,0.0,0.0,2,661.9077839851379
mgh,prediction_hamming,0.04,22,0.3054,0.05,0.0006000000000000001,0.0,0.0,0.0261026102610261,0.0,0.0,0.015831197348608588,3.933675963015661e-05,0.0,0.03182165701442512,5.8972455665759564e-05,0.0,0.012022140572575432,0.0,0.0,1,513.0997142791748
mgh,prediction_hamming,0.05,23,0.2851,0.05,0.0012474308300395257,0.0,0.0,0.04766563612883028,0.0,0.0,0.03152263222987566,3.9914656842284276e-05,0.0,0.06275901477290305,5.870342233869813e-05,0.0,0.0642750067925993,0.0,0.0,1,553.7563536167145
mgh,prediction_hamming,1e-05,498,0.3332,0.05,0.0070312299499810105,0.003668797442282302,0.0012220431835844082,0.31443686173664515,0.0,0.0,0.2680363255672844,0.09213702595555556,0.029696457774044865,0.5012069857887282,0.21367292507712912,0.07434591039461583,0.30168937040287097,0.08442720443569755,0.061624719713819213,29,638.0165657997131
mgh,support_jaccard,0.0,353,0.3258,0.05,0.006945151944372907,0.003601601334706357,0.001150866670297039,0.30670758293959705,0.0,0.0,0.2636558895032237,0.09520352945109732,0.028676747792367414,0.48233844832198525,0.22252611603720868,0.07269717237357876,0.29162628398132506,0.08956458504896433,0.060560241076292744,23,216.92614722251892
mgh,support_jaccard,0.0001,213,0.3197,0.05,0.00688170785720613,0.0040118936663224745,0.0012419492209886293,0.28020793043960257,0.0,0.0,0.24520057795283268,0.08785243354977826,0.026219229849552522,0.4686350962292552,0.21132619207552159,0.06700576235536589,0.2567498640756007,0.07965344204067572,0.04001811442807684,13,197.1096556186676
mgh,support_jaccard,0.001,101,0.3198,0.05,0.006111207920792079,0.003513590374636162,0.001968661532093677,0.26271149887265954,0.0,0.0,0.217065860970178,0.07005274199831216,0.03687873225412978,0.40904033390676237,0.19053372390024373,0.09734221117932491,0.1985150111872594,0.0780094686793947,0.05198762260619515,5,197.51477122306824
mgh,support_jaccard,0.01,137,0.3476,0.05,0.007425203950193216,0.0038872082982547317,0.0016154982037908559,0.28514979020443904,0.0,0.0,0.25385774712805176,0.08335458734302384,0.036148457867417015,0.4538357331573688,0.18904027197242473,0.08277168523077413,0.21660017970104722,0.040930730946755485,0.027030758491503725,7,197.76625990867615
mgh,support_jaccard,0.02,89,0.3574,0.05,0.007239427987742595,0.0036096095533233383,0.001860119327580817,0.2967970954398811,0.0,0.0,0.2462995682155257,0.08872413502397536,0.04378094700266673,0.4336086840347005,0.2337554395549956,0.11683121697525586,0.18077457866861268,0.06845594876605876,0.05754981235566094,6,211.98842358589172
mgh,support_jaccard,0.03,57,0.3502,0.05,0.005675689223057645,0.003909183356621642,0.002371118514515732,0.250328792277724,0.0,0.0,0.19553760915946405,0.08665503127227886,0.053431794559861495,0.3632209107891287,0.20435338337600742,0.1285039458076978,0.22681257900518054,0.042637938491660185,0.04698636670429974,4,196.57768177986145
mgh,support_jaccard,0.04,81,0.352,0.05,0.006255679012345679,0.003910945532265509,0.0019686270421663096,0.28932282117100594,0.0,0.0,0.25178979523505135,0.09182544870893193,0.04532575323127269,0.44864340180260154,0.20126346015734217,0.09861383763981303,0.22260510923769558,0.031722082956768774,0.03512297976987219,6,206.9697711467743
mgh,support_jaccard,0.05,26,0.3013,0.05,0.0025993846153846154,0.0,0.0,0.11217060167555215,0.0,0.0,0.08225292280110151,3.8901917631110535e-05,0.0,0.1384905948942066,5.8844019682915e-05,0.0,0.1007049571677064,0.0,0.0,1,168.70296168327332
mgh,support_jaccard,1e-05,353,0.3258,0.05,0.006945151944372907,0.003601601334706357,0.001150866670297039,0.30670758293959705,0.0,0.0,0.2636558895032237,0.09520352945109732,0.028676747792367414,0.48233844832198525,0.22252611603720868,0.07269717237357876,0.29162628398132506,0.08956458504896433,0.060560241076292744,23,219.46428680419922
