dataset,diversity_fn,repulsion_weight,n_models,accept_rate,eps,mcmc_pred_hamming,ellipsoid_pred_hamming_avg,ellipsoid_pred_hamming_std,mcmc_support_hamming,ellipsoid_support_hamming_avg,ellipsoid_support_hamming_std,mcmc_weight_l1,ellipsoid_weight_l1_avg,ellipsoid_weight_l1_std,mcmc_shape_l1,ellipsoid_shape_l1_avg,ellipsoid_shape_l1_std,mcmc_monotonicity_entropy,ellipsoid_monotonicity_entropy_avg,ellipsoid_monotonicity_entropy_std,n_ellipsoids,runtime_s
spambase,monotonicity_entropy,0.0,393,0.3103,0.05,0.01682964423485722,0.007598082773949703,0.002482839330727385,0.3888932163196067,0.0,0.0,0.4311887323553705,0.10175967208334159,0.03210062427506328,0.510262078168694,0.1767904945901392,0.05440505221133811,0.10512224310458015,0.037823178888316426,0.0296017216369495,22,1570.5031764507294
spambase,monotonicity_entropy,0.0001,345,0.3098,0.05,0.017401633135101197,0.008020006755083312,0.0022897313097159236,0.395534434333221,0.0,0.0,0.4386458846955485,0.11748635993654184,0.0344653208182499,0.5526102023504265,0.21134685523294772,0.06212456095366151,0.12227796695092011,0.061458661209875046,0.030057108096629453,17,1603.2435750961304
spambase,monotonicity_entropy,0.001,357,0.3064,0.05,0.01824607896048729,0.007511970141875205,0.0029874346888958377,0.40676129627881114,0.0,0.0,0.4518796926795917,0.0961794535745562,0.03457263995628729,0.5576830231247648,0.1760794428700816,0.06559943001894916,0.10910774957959439,0.04083400861405136,0.027720245574019062,17,1547.8221225738525
spambase,monotonicity_entropy,0.01,455,0.2954,0.05,0.017621654618400203,0.00766606758139649,0.002258669456755595,0.40639305481596233,0.0,0.0,0.45691526606288413,0.10032431652495034,0.028963230242027592,0.5538859872036274,0.1801139274134892,0.051472830586402736,0.11593386269462724,0.041736172811739386,0.024756864762300882,22,1537.7309503555298
spambase,monotonicity_entropy,0.02,486,0.272,0.05,0.018650131957837112,0.008613501496572324,0.002311542673143091,0.41225132578168094,0.0,0.0,0.4603930972925895,0.11182512109516987,0.026493464065653168,0.5723195028131202,0.20499764537085727,0.05391026209739599,0.13210153735093755,0.05271007864512882,0.025427435527578732,25,1530.3972442150116
spambase,monotonicity_entropy,0.03,360,0.2379,0.05,0.018371475499755107,0.00840650344813641,0.0026247781068289497,0.3835037656040442,0.0,0.0,0.42240313495608406,0.10626457677453584,0.032063350222352176,0.5393076981341298,0.19986037786994607,0.06550373573829632,0.13063074078696849,0.05690684146286474,0.023303488402712427,19,1454.9558107852936
spambase,monotonicity_entropy,0.04,490,0.2264,0.05,0.018742559100035784,0.00825891071030309,0.0028269681082070445,0.37821137125606896,0.0,0.0,0.4251293467392217,0.09831907536817647,0.030702943579264234,0.5496063189218675,0.18780015766497096,0.06062929377386061,0.14884448757205762,0.04690581283876664,0.02799977845915347,24,1468.8505210876465
spambase,monotonicity_entropy,0.05,337,0.1963,0.05,0.019418165018527986,0.008865307090477241,0.0031130379168387164,0.3522226932315952,0.0,0.0,0.40851092069536654,0.1032483051590195,0.03382119791092303,0.5309793656716888,0.19593388765721273,0.06730063217697747,0.18321039368922823,0.0534254616646336,0.03301178995131514,17,1345.910888671875
spambase,monotonicity_entropy,1e-05,500,0.2906,0.05,0.018032317623728224,0.008483566034410094,0.002880648676552683,0.4041425250501002,0.0,0.0,0.454220682422187,0.1041451763313739,0.031123955687533074,0.5568323626333946,0.19105002386839334,0.05990357448408666,0.1154662398199138,0.04255380334513304,0.02554624916458221,26,1452.5305314064026
spambase,prediction_hamming,0.0,393,0.3103,0.05,0.01682964423485722,0.007598082773949703,0.002482839330727385,0.3888932163196067,0.0,0.0,0.4311887323553705,0.10175967208334159,0.03210062427506328,0.510262078168694,0.1767904945901392,0.05440505221133811,0.10512224310458015,0.037823178888316426,0.0296017216369495,22,1487.9321558475494
spambase,prediction_hamming,0.0001,343,0.2943,0.05,0.017515648981372003,0.008232910765358406,0.0028616178706922023,0.3900201751544394,0.0,0.0,0.43668185229599565,0.10266198690673975,0.03455224071230331,0.5340158112140041,0.19108693022990547,0.06429248002760021,0.10094030991983652,0.038704355275728033,0.030628588416297797,17,1422.5661532878876
spambase,prediction_hamming,0.001,679,0.317,0.05,0.019056050653525898,0.008306797986447921,0.002623643316378076,0.4162852132307474,0.0,0.0,0.46061452852708057,0.10360972274690854,0.029567010599666706,0.5555704182046586,0.18837031618747868,0.05413050607788436,0.11778850105048733,0.04067639554156803,0.021784146047164103,35,3318.6296010017395
