dataset,diversity_fn,repulsion_weight,n_models,accept_rate,eps,mcmc_pred_hamming,ellipsoid_pred_hamming_avg,ellipsoid_pred_hamming_std,mcmc_support_hamming,ellipsoid_support_hamming_avg,ellipsoid_support_hamming_std,mcmc_weight_l1,ellipsoid_weight_l1_avg,ellipsoid_weight_l1_std,mcmc_shape_l1,ellipsoid_shape_l1_avg,ellipsoid_shape_l1_std,mcmc_monotonicity_entropy,ellipsoid_monotonicity_entropy_avg,ellipsoid_monotonicity_entropy_std,n_ellipsoids,runtime_s
student_binarized,monotonicity_entropy,0.0,840,0.3983,0.05,0.0436909534644934,0.026834380650858653,0.008964179831913511,0.30745920934921445,0.0,0.0,0.26367419321754976,0.06850261372143868,0.027534827893829043,0.4540177800332093,0.12496520567483078,0.054038966263775606,0.2862411362276752,0.12092942421311656,0.07489485683811352,52,2070.3257253170013
student_binarized,monotonicity_entropy,0.0001,139,0.4168,0.05,0.03929402870147106,0.027507820097827502,0.010308417797407866,0.3284660056633782,0.0,0.0,0.2891102306948962,0.08949413089360897,0.03660382648128463,0.499132750910155,0.16530875263638653,0.07144058802888885,0.244361773673756,0.1505256254168696,0.08057441231166876,9,777.7970459461212
student_binarized,monotonicity_entropy,0.001,538,0.4086,0.05,0.04396742540695761,0.028258091771625093,0.008548642620231897,0.34331680793851876,0.0,0.0,0.28615836461164174,0.07799580163340177,0.023950929270217438,0.4836456308097919,0.14261855527359568,0.049526886072515076,0.27549717687206915,0.13335053944155745,0.09072890611514747,40,850.7993848323822
student_binarized,monotonicity_entropy,0.01,387,0.4162,0.05,0.04504751667264611,0.02805331309281433,0.009386383994812167,0.3320452752111185,0.0,0.0,0.28844310795272166,0.07784107142184828,0.028494887156553277,0.4743082394914604,0.13814518609102955,0.045573135030053516,0.29488119454286804,0.12017367188521935,0.07564885968087627,32,802.1913442611694
student_binarized,monotonicity_entropy,0.02,618,0.4075,0.05,0.041942033024332075,0.026795438225699818,0.007055563383741441,0.32012459434529894,0.0,0.0,0.2731280821404322,0.07480656688791056,0.021567161164806177,0.4717412227737318,0.1373342468243848,0.0465288959241173,0.3269020358711379,0.13453862959053423,0.07682658218362151,53,867.7299153804779
student_binarized,monotonicity_entropy,0.03,266,0.4108,0.05,0.04369409729516104,0.03077040275759626,0.009008518750962315,0.34583178521325775,0.0,0.0,0.28282408722760755,0.08390929446630847,0.02271145980741524,0.5016732527703394,0.1577585350479011,0.045228587156390145,0.3558691197361352,0.1415755243029917,0.0734474616978537,25,853.9943532943726
student_binarized,monotonicity_entropy,0.04,384,0.3522,0.05,0.04399870055156155,0.02829614809542738,0.007782498214417609,0.3215885190020307,0.0,0.0,0.2716929287253884,0.07649133877241754,0.021975621628954528,0.47556942259515356,0.14413241913479552,0.05046844428411348,0.3245077493713967,0.1210385444848009,0.062309388810236725,25,535.8358194828033
student_binarized,monotonicity_entropy,0.05,238,0.2422,0.05,0.04391603533418595,0.02685341013352781,0.009027730468563666,0.3185651194373671,0.0,0.0,0.273153109750313,0.08069372360182459,0.031097439229775137,0.47433271741079835,0.16128872501490438,0.0630827296813217,0.4177436595200156,0.15721905097005964,0.09280904125779821,19,372.6757302284241
student_binarized,monotonicity_entropy,1e-05,210,0.4068,0.05,0.04078251378551435,0.029185250856442566,0.008418917854560625,0.32863471810840234,0.0,0.0,0.288125825648084,0.08076695585408863,0.02871488990219977,0.49196926465913027,0.14145787269724652,0.04590790918085552,0.21556814912864403,0.09280634296705968,0.08153743277066544,18,790.3881022930145
student_binarized,prediction_hamming,0.0,840,0.3983,0.05,0.0436909534644934,0.026834380650858653,0.008964179831913511,0.30745920934921445,0.0,0.0,0.26367419321754976,0.06850261372143868,0.027534827893829043,0.4540177800332093,0.12496520567483078,0.054038966263775606,0.2862411362276752,0.12092942421311656,0.07489485683811352,52,470.0633375644684
