dataset,finetune_coordinate,corr_threshold,avg_loss,best_error,n_models,acceptance_rate,runtime_s,diversity_pred_hamming,diversity_support_hamming,diversity_weight_l1,diversity_shape_l1,diversity_monotonicity_entropy
compas,False,,0.3351840078223521,0.3153322716085131,69,0.3066,393.9596428871155,0.1130088938276414,0.3302556099816492,0.2596872198868921,0.6040216605277674,0.513145207611401
compas,True,0.0,0.3187907485934211,0.3153322716085131,187,0.1474,252.90792441368103,0.0613928761706131,0.3643906988711285,0.1950958429848721,0.5008332529600954,0.4290492538148476
compas,True,0.02,0.3226493422748224,0.3153322716085131,141,0.1552,282.6332399845124,0.0928254656707752,0.3276217952020332,0.2183662786937956,0.6674650831080935,0.548991517042501
compas,True,0.05,0.327099642062078,0.3153322716085131,101,0.1628,300.7517023086548,0.1224521542931765,0.3421782178217822,0.2604197746648931,0.981808026204236,0.4700091388069941
compas,True,0.1,0.3252223721398217,0.3153322716085131,119,0.2226,327.86331272125244,0.1062711882965758,0.3111875028667025,0.2423520995120786,0.8814773555402414,0.4530192871618816
compas,True,0.15,0.3241123410154827,0.3153322716085131,132,0.2378,366.4684293270111,0.1019648171950792,0.3327942381506878,0.2317553807352714,0.6538772895222615,0.49461745243643
compas,True,0.2,0.3234065774966311,0.3153322716085131,117,0.209,318.62870693206787,0.1006437213433613,0.3293270791809657,0.2037813226378927,0.5000592194147415,0.5093712745516783
compas,True,0.25,0.3321145351584801,0.3153322716085131,106,0.2424,357.24640417099,0.1374389901724763,0.3289597514733427,0.2674427628214419,1.1512758563167498,0.5716775155918931
compas,True,0.3,0.3285607889632792,0.3153322716085131,111,0.2474,334.06440591812134,0.1234364548683355,0.3364122211579838,0.2620261274764979,0.8541146135694825,0.4979979837245142
compas,True,0.4,0.3303547126103952,0.3153322716085131,100,0.2526,356.5992674827576,0.129143234867862,0.3234001027221366,0.2429562695910434,0.9130331581390774,0.4958765028226503
compas,True,0.5,0.3248270805213972,0.3153322716085131,93,0.2352,123.3830132484436,0.1096378771108008,0.3106393768670613,0.2196783462073372,0.6472737893739232,0.4328192093855419
