dataset,finetune_coordinate,corr_threshold,avg_loss,best_error,n_models,acceptance_rate,runtime_s,diversity_pred_hamming,diversity_support_hamming,diversity_weight_l1,diversity_shape_l1,diversity_monotonicity_entropy
covertype,False,,0.2200804687499999,0.212,256,0.2214,380.96814012527466,0.0922667585784313,0.3453991013071895,0.354463283965543,0.6742551076939715,0.3005791340009002
covertype,True,0.0,0.2135842975206611,0.212,121,0.0906,97.62256002426147,0.045797520661157,0.2693333333333333,0.240176050045807,0.4179440135803913,0.1693961460929309
covertype,True,0.02,0.2163506024096385,0.212,166,0.1642,237.5804653167725,0.0650592479006936,0.3374082998661312,0.3212674656305712,0.5302194933618188,0.2064325579398989
covertype,True,0.05,0.2204581196581196,0.212,117,0.1956,329.3969991207123,0.0849540819333922,0.3333765595834561,0.3308043414748851,0.6516845302648993,0.1867702901090147
covertype,True,0.1,0.2174101123595505,0.212,178,0.1838,383.8169972896576,0.0746380625912524,0.3530040838782031,0.325322494258903,0.5471615938114722,0.290176688436693
covertype,True,0.15,0.2186177570093458,0.212,214,0.2144,367.2029287815094,0.0801527357290158,0.3525730917174908,0.3553819115117362,0.6244755708698816,0.3218352267589829
covertype,True,0.2,0.2216724137931034,0.212,116,0.2052,374.2477374076843,0.0885247676161919,0.3374392803598201,0.3634870061950763,0.6252077254306316,0.3386827785368625
covertype,True,0.25,0.2184988636363636,0.212,176,0.2202,391.36841344833374,0.0746638571428571,0.3605380952380952,0.3322789974825585,0.6141071749686451,0.2530466138112296
covertype,True,0.3,0.2187891719745223,0.212,157,0.2076,375.44984102249146,0.0802520333170014,0.333711143774838,0.3314147885911461,0.6658673018211734,0.3331758829775376
covertype,True,0.4,0.2187891719745223,0.212,157,0.2076,364.57294154167175,0.0802520333170014,0.333711143774838,0.3314147885911461,0.6658673018211734,0.3331758829775376
covertype,True,0.5,0.2214796610169491,0.212,177,0.2036,512.9055769443512,0.0915906522855675,0.324774011299435,0.3435837190109598,0.6627803934857879,0.3090732341404965
