dataset,finetune_coordinate,corr_threshold,avg_loss,best_error,n_models,acceptance_rate,runtime_s,diversity_pred_hamming,diversity_support_hamming,diversity_weight_l1,diversity_shape_l1,diversity_monotonicity_entropy
fico,False,,0.2751128342245989,0.2653,187,0.3246,273.2621443271637,0.1130846299810246,0.3616512915841699,0.2166051776919396,0.6208758131032798,0.4533972827436415
fico,True,0.0,0.2676481818181817,0.2653,110,0.1222,330.6428735256195,0.0569078065054211,0.3134178979995767,0.1576556741916433,0.3836314091723573,0.3081461768078889
fico,True,0.02,0.2711652173913043,0.2653,115,0.15,428.5441963672638,0.0859653699466056,0.3330441613443082,0.1885128484374477,0.5124748293271632,0.4254100080247913
fico,True,0.05,0.2709603305785125,0.2653,121,0.1592,543.6776113510132,0.0794897245179063,0.3487562189054726,0.1945138862379268,0.5736006188738416,0.5096306868752805
fico,True,0.1,0.275942441860465,0.2653,172,0.2266,686.9898204803467,0.11901953624371,0.374509541237103,0.2467997008501745,0.7772894715026755,0.5140796713344165
fico,True,0.15,0.2724429411764705,0.2653,170,0.2474,632.1027774810791,0.0960135537765402,0.3681772134801107,0.2071952733010941,0.5865446260836972,0.4591745224974478
fico,True,0.2,0.2765786764705882,0.2653,136,0.2456,635.0835139751434,0.115688551198257,0.3453801255162098,0.2101465433137895,0.6056764304124583,0.5407957093942182
fico,True,0.25,0.2745193333333333,0.2653,150,0.2868,722.6329500675201,0.1108005458612975,0.3715449597649337,0.2329117929082012,0.6801717461236934,0.4987421643905618
fico,True,0.3,0.2743117647058823,0.2653,187,0.2848,705.4681804180145,0.1071472255764476,0.3744474110386483,0.2285661735658123,0.6686474513504393,0.5197573500849929
fico,True,0.4,0.2765666666666666,0.2653,219,0.2842,697.7135937213898,0.1198340329269825,0.369254018958869,0.2273116621771598,0.7061848089645488,0.4920166596189735
fico,True,0.5,0.2774898058252427,0.2653,206,0.2764,698.1842691898346,0.1249979872128818,0.3568256279577721,0.2184911221661403,0.6394198810682062,0.5043434349536469
