dataset,finetune_coordinate,corr_threshold,avg_loss,best_error,n_models,acceptance_rate,runtime_s,diversity_pred_hamming,diversity_support_hamming,diversity_weight_l1,diversity_shape_l1,diversity_monotonicity_entropy
spambase,False,,0.0444284504556505,0.0456422516844164,183,0.3088,125.66328144073486,0.0221638470344204,0.388364058527993,0.4513808466470256,0.5550333514867342,0.1518342877134086
spambase,True,0.0,0.0432198975447407,0.0456422516844164,179,0.1318,69.83283758163452,0.0177124422861898,0.3197581235745821,0.398517947962384,0.5278574746996357,0.1308301625456989
spambase,True,0.02,0.0442541832063715,0.0456422516844164,163,0.1814,102.74324440956116,0.0208754331468829,0.3494205862304022,0.43560168428341,0.5746386675809964,0.1784564615751322
spambase,True,0.05,0.0431100445704179,0.0456422516844164,146,0.2444,135.43052291870117,0.0193793076755099,0.3665703038891513,0.4398160699112546,0.5563129498468471,0.1640882896455926
spambase,True,0.1,0.0453175242020767,0.0456422516844164,253,0.2528,160.91731762886047,0.0235596101901158,0.3694154798502624,0.4626840213591561,0.6050969965893974,0.1876104775686658
spambase,True,0.15,0.0462956682083789,0.0456422516844164,157,0.2498,175.2576174736023,0.023130973345341,0.3549621645163046,0.4447551488101378,0.6017257741617124,0.1866885909206729
spambase,True,0.2,0.0446514184895866,0.0456422516844164,136,0.283,148.31800436973572,0.0207382216331677,0.3831575889615105,0.4554555316426994,0.6171392204728142,0.1480497249930579
spambase,True,0.25,0.0438124131412889,0.0456422516844164,241,0.3056,138.66482257843018,0.0207887935841718,0.3804347625633933,0.4669030119172491,0.5972174577360324,0.1640034251969025
spambase,True,0.3,0.0442515009931241,0.0456422516844164,173,0.2496,145.62108159065247,0.0215086762759482,0.3607142537079357,0.4307354067065936,0.580009355887531,0.1815689266919681
spambase,True,0.4,0.043558098415738,0.0456422516844164,185,0.309,164.7574918270111,0.0204608613413882,0.385623188405797,0.4735157549503651,0.6289617834247961,0.1722506577522794
spambase,True,0.5,0.0429760990380804,0.0456422516844164,221,0.3184,140.95396423339844,0.0203582091100149,0.4046181269710681,0.4868020514734966,0.6102730113989576,0.1866047072534936
